timestamp_ms,connection,transaction_id,opcode,opcode_name,phase,start_data_present,declared_size,data_packet_count,end_data_present,response_code,payload_bytes,duration_ms
2550,conn-04,0x0000001F,0x9052,CanonGetLiveViewPicture,liveview-active,true,38899,27,true,0x2001,38899,57.0
2625,conn-04,0x00000020,0x9052,CanonGetLiveViewPicture,liveview-active,true,40236,28,true,0x2001,40236,59.0
2700,conn-04,0x00000021,0x9052,CanonGetLiveViewPicture,liveview-active,true,35173,25,true,0x2001,35173,61.0
2775,conn-04,0x00000022,0x9052,CanonGetLiveViewPicture,liveview-active,true,36510,26,true,0x2001,36510,48.0
2800,conn-04,0x00000082,0x9153,CanonCheckEvent,liveview-active,true,96,1,true,0x2001,96,8.2
2850,conn-04,0x00000023,0x9052,CanonGetLiveViewPicture,liveview-active,true,37847,27,true,0x2001,37847,50.0
2925,conn-04,0x00000024,0x9052,CanonGetLiveViewPicture,liveview-active,true,39184,28,true,0x2001,39184,52.0
3000,conn-04,0x00000025,0x9052,CanonGetLiveViewPicture,liveview-active,true,40521,28,true,0x2001,40521,54.0
3075,conn-04,0x00000026,0x9052,CanonGetLiveViewPicture,liveview-active,true,35458,25,true,0x2001,35458,56.0
3150,conn-04,0x00000027,0x9052,CanonGetLiveViewPicture,liveview-active,true,36795,26,true,0x2001,36795,58.0
3175,conn-04,0x00000087,0x9153,CanonCheckEvent,liveview-active,true,96,1,true,0x2001,96,8.2
3225,conn-04,0x00000028,0x9052,CanonGetLiveViewPicture,liveview-active,true,38132,27,true,0x2001,38132,60.0
3300,conn-04,0x00000029,0x9052,CanonGetLiveViewPicture,liveview-active,true,39469,28,true,0x2001,39469,62.0
3375,conn-04,0x0000002A,0x9052,CanonGetLiveViewPicture,liveview-active,true,40806,29,true,0x2001,40806,49.0
3450,conn-04,0x0000002B,0x9052,CanonGetLiveViewPicture,liveview-active,true,35743,25,true,0x2001,35743,51.0
3525,conn-04,0x0000002C,0x9052,CanonGetLiveViewPicture,liveview-active,true,37080,26,true,0x2001,37080,53.0
3550,conn-04,0x0000008C,0x9153,CanonCheckEvent,liveview-active,true,96,1,true,0x2001,96,8.2
3700,conn-04,0x00000200,0x9053,CanonEndLiveView,post-liveview,false,0,0,false,0x2001,0,32.1
3800,conn-04,0x00000201,0x1003,CloseSession,post-liveview,false,0,0,false,0x2001,0,14.0
